ID,TARGET
2,0.0520485006273
5,0.0569308921695
6,0.00145731365774
7,0.010136961937
9,0.00156490725931
11,0.246872380376
12,0.0425763837993
15,0.147980123758
16,0.0269548855722
17,0.020380359143
19,0.0217347592115
21,0.002583862748
22,0.0207881908864
24,0.00971046090126
27,0.0106260394678
28,0.0262249801308
30,0.146099120378
33,0.00221059611067
35,0.0117754116654
37,0.024220623076
38,0.0192082952708
40,0.198135614395
41,0.0363460965455
44,0.0091159241274
46,0.0567835755646
47,0.00945752393454
48,0.003092198167
50,0.00478118332103
52,0.182939976454
53,0.00732546579093
55,0.0261860862374
57,0.00194184144493
58,0.00940004363656
59,0.0120589481667
62,0.0314206406474
63,0.00988419447094
64,0.0208101049066
65,0.0121164144948
67,0.0155933033675
69,0.0534462183714
70,0.00219815480523
71,0.0160642471164
72,0.00309477024712
73,0.00178878824227
76,0.00443361932412
78,0.00251678051427
79,0.024766433984
81,0.00251517281868
85,0.0104114050046
86,0.00237685046159
89,0.0419263578951
94,0.109136834741
96,0.00263237114996
97,0.0170325841755
98,0.00225959345698
99,0.0213275142014
100,0.237211555243
103,0.0852384567261
104,0.00700091663748
108,0.00901089422405
110,0.00312398932874
112,0.0243216883391
114,0.0439578555524
116,0.0197919085622
117,0.00919080153108
119,0.0042675267905
120,0.00354772410356
121,0.00160753144883
123,0.0174431521446
124,0.0327869914472
126,0.00154005654622
128,0.0113161848858
129,0.0885264649987
133,0.0383192822337
138,0.0238228607923
147,0.0265734437853
149,0.0167618412524
158,0.00264562503435
160,0.00656610773876
164,0.0315272025764
167,0.057683005929
168,0.0190105140209
174,0.00710150972009
181,0.0204496588558
185,0.0353160724044
187,0.0029323308263
189,0.0122814439237
190,0.0607217885554
194,0.0067526535131
197,0.0313001461327
198,0.019163120538
201,0.0345151647925
205,0.00830767676234
208,0.131019309163
211,0.0104467906058
216,0.0283877179027
219,0.0589610636234
223,0.00549927353859
224,0.10825137049
226,0.0128338905051
229,0.012180310674
230,0.0167381614447
237,0.0201956406236
238,0.0192014537752
240,0.0860714018345
243,0.00253901584074
245,0.120299302042
246,0.250447005033
247,0.00531557109207
248,0.0095224250108
249,0.002233983716
250,0.266505926847
